scorer,JSM,JSM,JSM,JSM,JSM,JSM
bodyparts,PinkBall,PinkBall,GreenBall,GreenBall,RedBall,RedBall
coords,x,y,x,y,x,y
labeled-data\sesh_21-05-31_111833_synced_Cam3\img072.png,,,,,,
labeled-data\sesh_21-05-31_111833_synced_Cam3\img136.png,,,,,,
labeled-data\sesh_21-05-31_111833_synced_Cam3\img182.png,101.98046124279313,97.30210820569562,114.09390833381872,115.00637703104064,276.227738629084,131.77884223399917
labeled-data\sesh_21-05-31_111833_synced_Cam3\img295.png,223.1149321530488,80.52964300273709,205.4106633277038,211.91395375924526,317.2270980140937,267.82217110244017
labeled-data\sesh_21-05-31_111833_synced_Cam3\img319.png,241.75100460078045,169.98279075184905,291.1365965872693,140.16507483547844,116.88931920097843,327.4576029351814
labeled-data\sesh_21-05-31_111833_synced_Cam3\img336.png,144.84342787257594,209.11854289208543,201.68344883815746,164.3919690175295,327.4769378603461,224.0274008502708
labeled-data\sesh_21-05-31_111833_synced_Cam3\img341.png,206.34246695009028,82.39325024751031,170.93392929940023,223.09559722788418,280.88675674101694,349.82088987245936
labeled-data\sesh_21-05-31_111833_synced_Cam3\img417.png,150.43424960689538,240.79986605322927,323.74972337079964,361.00253334109834,255.72805893657926,185.82345233242097
labeled-data\sesh_21-05-31_111833_synced_Cam3\img453.png,135.52539164871007,525.9317745035233,335.86317046182523,599.5442606720634,273.4323277619243,589.2944208258109
labeled-data\sesh_21-05-31_111833_synced_Cam3\img459.png,142.0480170054161,526.86357812591,391.77138780502025,590.2262244481975,274.3641313843108,591.1580280705841
