scorer,JSM,JSM,JSM,JSM,JSM,JSM
bodyparts,PinkBall,PinkBall,GreenBall,GreenBall,RedBall,RedBall
coords,x,y,x,y,x,y
labeled-data\sesh_21-05-31_111833_synced_Cam4\img000.png,,,,,,
labeled-data\sesh_21-05-31_111833_synced_Cam4\img012.png,,,,,,
labeled-data\sesh_21-05-31_111833_synced_Cam4\img050.png,,,,,,
labeled-data\sesh_21-05-31_111833_synced_Cam4\img285.png,275.2959350066975,330.2530138023411,324.68152699318637,215.6411682487916,320.9543125036399,161.5965581503698
labeled-data\sesh_21-05-31_111833_synced_Cam4\img299.png,308.84086541261433,99.16571545046884,306.0454545454546,322.79858482324846,343.3175994409179,128.05162774445284
labeled-data\sesh_21-05-31_111833_synced_Cam4\img336.png,281.81856036340344,222.16379360549763,296.72741832158874,197.00509580105995,387.1123696930873,223.09559722788418
labeled-data\sesh_21-05-31_111833_synced_Cam4\img365.png,308.84086541261433,90.77948284898957,352.63563566478376,273.41299283675966,306.97725816784134,347.02547900529964
labeled-data\sesh_21-05-31_111833_synced_Cam4\img378.png,279.95495311863044,286.4582435501718,342.3857958185314,160.66475452798318,351.70383204239727,179.3008269757148
labeled-data\sesh_21-05-31_111833_synced_Cam4\img383.png,319.0907052588667,134.5742531011589,354.499242909557,178.36902335332832,363.81727913342286,259.4359385009609
labeled-data\sesh_21-05-31_111833_synced_Cam4\img447.png,228.70575388736836,496.1140585871527,394.56679867217997,373.11598043212393,374.9989226020617,487.7278259856735
