scorer,JSM,JSM,JSM,JSM,JSM,JSM
bodyparts,PinkBall,PinkBall,GreenBall,GreenBall,RedBall,RedBall
coords,x,y,x,y,x,y
labeled-data\sesh_21-05-31_172709_synced_Cam2\img017.png,,,,,,
labeled-data\sesh_21-05-31_172709_synced_Cam2\img078.png,162.17078354207501,390.3532041833454,471.15252685546875,615.6367797851562,,
labeled-data\sesh_21-05-31_172709_synced_Cam2\img100.png,,,,,325.4195251464844,309.8714904785156
labeled-data\sesh_21-05-31_172709_synced_Cam2\img111.png,291.4244689941406,302.2882385253906,310.26416015625,344.5943908691406,290.4408264160156,300.0240783691406
labeled-data\sesh_21-05-31_172709_synced_Cam2\img148.png,246.84086110742248,340.51172442087267,214.31500244140625,218.6037139892578,155.94386291503906,197.3334503173828
labeled-data\sesh_21-05-31_172709_synced_Cam2\img206.png,266.556884765625,320.6431884765625,267.4332580566406,171.91268920898438,180.62379455566406,245.56329345703125
labeled-data\sesh_21-05-31_172709_synced_Cam2\img267.png,,,187.96229351022043,43.765592231100754,360.14586167276906,589.4115147920321
labeled-data\sesh_21-05-31_172709_synced_Cam2\img290.png,,,393.67641807512837,372.83337806744976,355.1314697265625,586.55859375
labeled-data\sesh_21-05-31_172709_synced_Cam2\img329.png,,,,,360.01214599609375,591.7302856445312
labeled-data\sesh_21-05-31_172709_synced_Cam2\img354.png,,,,,,
